,daysBetweenDates,isBasicEconomy,1depTimeOnly,numberOfStopovers,waitingTime,numericalStartingAirport,numericalDestinationAirport,numerical1cabin,totalFare
479,15,0,18,1,2.0,14,15,1,628.6
480,21,0,15,1,7.0,3,6,1,465.21
481,30,0,7,1,2.0,9,7,1,379.6
482,1,0,6,1,1.0,10,4,1,242.6
483,23,0,8,1,1.0,13,9,1,244.6
484,8,0,20,1,1.0,5,9,1,448.6
485,17,0,16,1,1.0,0,11,1,417.6
486,33,0,14,0,0.0,9,3,1,163.6
487,29,1,19,1,3.0,4,12,1,203.6
488,13,0,6,1,2.0,2,5,1,366.1
489,13,0,6,1,2.0,7,4,1,294.6
490,8,1,7,1,1.0,8,9,1,211.1
491,8,0,8,1,3.0,3,11,1,351.6
492,40,0,11,1,3.0,3,10,1,182.6
493,19,0,6,1,1.0,14,5,1,257.6
494,16,0,24,1,3.0,15,2,1,346.61
495,15,1,13,1,4.0,7,0,1,180.1
496,34,0,17,0,0.0,8,15,1,1634.59
497,19,0,13,0,0.0,7,5,1,238.61
498,31,0,23,1,2.0,9,10,1,527.1
499,45,1,11,1,2.0,1,2,1,122.6
500,58,0,13,2,8.0,15,10,1,938.7
501,14,0,9,0,0.0,4,15,1,458.6
502,12,0,7,0,0.0,0,4,1,191.6
503,59,0,15,1,6.0,5,1,1,203.2
504,42,0,8,1,1.0,11,3,1,203.6
505,17,0,7,1,2.0,2,15,1,727.1
506,48,0,16,1,2.0,11,1,1,412.6
507,5,0,6,0,0.0,9,14,1,658.6
508,6,0,8,2,10.0,2,12,1,580.2
509,21,0,10,1,2.0,4,10,1,207.6
510,7,0,19,0,0.0,3,9,1,298.6
511,30,0,6,2,6.0,5,8,1,595.11
512,35,0,7,1,7.0,13,12,1,471.21
513,39,0,6,1,1.0,1,9,1,351.6
514,46,0,9,0,0.0,4,2,1,349.6
515,57,0,9,0,0.0,8,13,1,172.6
516,17,0,20,0,0.0,5,15,1,518.6
517,45,0,15,0,0.0,11,10,1,330.61
518,4,0,14,1,4.0,1,0,1,411.6
519,42,0,13,0,0.0,2,4,1,405.1
520,34,0,7,1,1.0,7,4,1,328.6
521,8,0,15,1,1.0,15,0,1,681.6
522,38,0,7,1,2.0,6,4,1,358.6
523,25,1,12,0,0.0,8,13,1,128.6
524,44,0,5,1,1.0,3,11,1,232.1
525,26,0,11,1,8.0,3,12,1,397.19
526,3,0,9,2,8.0,10,12,1,579.08
527,12,0,6,1,2.0,2,13,1,180.1
528,46,0,19,1,1.0,11,15,1,447.6
529,22,1,6,1,3.0,14,7,1,243.11
530,11,0,11,1,1.0,3,11,1,222.99
531,37,1,7,1,4.0,4,7,1,127.6
532,48,0,10,1,1.0,2,10,1,166.1
533,39,0,13,1,2.0,7,8,1,521.61
534,24,0,10,0,0.0,3,4,1,103.6
535,33,0,8,1,3.0,9,1,1,456.6
536,36,0,9,1,2.0,6,9,1,511.6
537,34,0,14,0,0.0,11,2,1,264.6
538,29,0,16,0,0.0,13,6,1,178.6
539,27,0,19,0,0.0,4,2,1,262.6
540,16,0,6,0,0.0,6,11,1,248.6
541,47,0,6,0,0.0,2,7,1,192.1
542,41,1,7,0,0.0,2,10,1,120.1
543,11,0,5,1,1.0,0,10,1,130.58
544,41,0,12,2,5.0,5,14,1,329.1
545,55,0,8,1,2.0,15,2,1,503.6
546,1,0,8,0,0.0,14,9,1,443.6
547,12,0,20,0,0.0,0,10,1,289.6
548,32,0,5,1,2.0,7,9,1,476.11
549,20,0,7,0,0.0,3,14,1,293.98
550,38,0,6,1,2.0,14,4,1,75.58
551,30,0,17,1,3.0,0,1,1,391.61
552,13,0,9,2,8.0,10,7,1,293.7
553,30,0,6,1,2.0,10,15,1,227.6
554,20,0,15,1,1.0,8,3,1,356.1
555,51,0,9,0,0.0,4,14,1,278.6
556,49,0,9,0,0.0,13,6,1,298.6
557,41,0,12,1,9.0,3,12,1,96.58
558,29,0,21,0,0.0,8,1,1,98.6
559,50,0,8,0,0.0,0,11,1,168.61
560,31,0,14,1,7.0,2,4,1,317.7
561,57,0,7,1,2.0,0,10,1,132.61
562,42,0,7,1,5.0,14,0,1,70.58
563,43,0,8,1,8.0,5,6,1,221.58
